latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-8.58734,-45.90765,301.1,0.71,0.75,2020-08-12,0330,1,nominal,2.0NRT,289.5,0.9,N
-8.59416,-45.90926,299.8,0.71,0.75,2020-08-12,0330,1,nominal,2.0NRT,289.7,0.9,N
-8.72182,-46.71711,305.1,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,288.4,1.9,N
-8.72322,-46.70998,306.2,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,288.7,1.9,N
-8.72413,-46.71665,307.7,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,288.5,2.4,N
-8.72557,-46.7095,306,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,288.8,2.6,N
-9.26898,-45.06816,327.6,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.1,5.3,N
-9.27003,-45.06267,332.9,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.3,5.3,N
-9.26793,-45.07368,298.6,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,288.5,1.8,N
-9.27649,-45.06404,338.4,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,290.2,5.5,N
-9.27544,-45.06954,311.2,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.5,5.5,N
-9.27753,-45.05855,316.3,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.7,6.3,N
-9.26951,-45.06361,346.1,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.9,8.6,N
-9.26842,-45.0691,318.6,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.3,5.9,N
-9.27597,-45.06496,328.8,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,290.1,4.2,N
-9.27705,-45.05948,329.9,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,290.6,4.2,N
-9.27488,-45.07045,308.7,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,289.4,3.3,N
-9.28349,-45.0609,298.6,0.6,0.71,2020-08-12,0330,1,nominal,2.0NRT,288.4,4.2,N
-9.94816,-46.73396,316.6,0.75,0.77,2020-08-12,0330,1,nominal,2.0NRT,289.7,3.2,N
-10.73125,-46.39285,305.6,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,291.2,1.7,N
-10.73185,-46.4254,299.2,0.7,0.75,2020-08-12,0330,1,nominal,2.0NRT,288.9,1.6,N
-10.73311,-46.41904,308.8,0.7,0.75,2020-08-12,0330,1,nominal,2.0NRT,289.9,2.5,N
-10.73555,-46.40687,302.8,0.7,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.3,2.2,N
-10.7368,-46.40058,300.8,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.6,2.2,N
-10.73815,-46.39384,302.8,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.6,1.7,N
-10.74239,-46.40818,309.5,0.7,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.7,2.4,N
-10.73106,-46.39621,301.3,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.7,1.8,N
-10.73246,-46.38947,301.3,0.69,0.74,2020-08-12,0330,1,nominal,2.0NRT,290.9,1.8,N
-10.73281,-46.42216,308.5,0.7,0.75,2020-08-12,0330,1,nominal,2.0NRT,289.3,3.3,N
-10.7366,-46.40381,301.9,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.6,1.5,N
-10.73794,-46.39734,304.9,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.6,1.9,N
-10.74216,-46.41133,305.2,0.7,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.4,1.5,N
-10.74348,-46.40495,300.8,0.69,0.75,2020-08-12,0330,1,nominal,2.0NRT,290.4,1.5,N
-12.39343,-38.34008,304.1,0.38,0.43,2020-08-12,0330,1,nominal,2.0NRT,289.5,1.8,N
-12.39678,-38.34441,337.7,0.38,0.43,2020-08-12,0330,1,nominal,2.0NRT,291.5,1.8,N
-12.3974,-38.34086,300.8,0.38,0.43,2020-08-12,0330,1,nominal,2.0NRT,290.7,1.8,N
-12.40076,-38.34514,310.4,0.38,0.43,2020-08-12,0330,1,nominal,2.0NRT,292.1,1.2,N
-10.92386,-46.39478,311.8,0.69,0.74,2020-08-12,0330,1,nominal,2.0NRT,288.7,3.5,N
-10.90978,-46.39843,298.7,0.69,0.74,2020-08-12,0330,1,nominal,2.0NRT,287.7,0.8,N
-10.91789,-46.39355,300.9,0.69,0.74,2020-08-12,0330,1,nominal,2.0NRT,287.4,0.8,N
-10.92466,-46.39505,311.9,0.69,0.74,2020-08-12,0330,1,nominal,2.0NRT,288.9,2.9,N
-12.71183,-38.57188,322.2,0.39,0.44,2020-08-12,0330,1,nominal,2.0NRT,294.4,3.4,N
-11.38726,-47.45104,317.1,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,289.9,3,N
-11.3945,-47.45213,315.9,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,290,3,N
-11.38974,-47.45032,317.7,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,289.9,2.9,N
-11.39698,-47.45138,315.6,0.79,0.78,2020-08-12,0330,1,nominal,2.0NRT,290.1,2.9,N
-11.83559,-45.6999,307.4,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,286.9,13.1,N
-11.83668,-45.69444,303.8,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,286.8,12.5,N
-11.842,-45.70134,351.8,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,287.6,13.1,N
-11.84309,-45.69587,355.9,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,290.5,12.5,N
-11.84418,-45.69041,303.3,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,286.2,12.5,N
-11.83544,-45.70264,303,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,287.1,9.6,N
-11.83657,-45.69719,310.8,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,286.6,9.6,N
-11.84299,-45.6986,367,0.6,0.7,2020-08-12,0330,1,high,2.0NRT,289.4,9.6,N
-11.84411,-45.69316,367,0.59,0.7,2020-08-12,0330,1,high,2.0NRT,288.4,26.2,N
-11.84186,-45.70405,310.7,0.6,0.7,2020-08-12,0330,1,nominal,2.0NRT,286.6,9.6,N
-14.37529,-45.73389,296.1,0.54,0.68,2020-08-12,0330,1,nominal,2.0NRT,284.4,0.7,N
-14.37632,-45.72897,297.8,0.54,0.67,2020-08-12,0330,1,nominal,2.0NRT,285.2,0.7,N
-14.38144,-45.7353,296.1,0.54,0.68,2020-08-12,0330,1,nominal,2.0NRT,285.1,0.7,N
-14.61074,-45.93976,337.9,0.55,0.68,2020-08-12,0330,1,nominal,2.0NRT,285.5,4.2,N
-14.60966,-45.94482,313.4,0.55,0.68,2020-08-12,0330,1,nominal,2.0NRT,284.4,4.2,N
-17.40957,-47.17546,299.8,0.58,0.69,2020-08-12,0330,1,nominal,2.0NRT,286.6,1.2,N
